iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,9.983884344159637,0.24969458422006538,3.999440041539318,12,0.2,2.5,0.3
1,2.042496367912154,0.23688985073592045,3.5803908246350162,8,0.2,2.5,0.3
2,1.2065146604211563,0.23234335853876517,3.4294753193060323,4,0.2,2.5,0.3
3,1.1155208651121562,0.20258712228929648,3.3612384169318164,3,0.2,2.5,0.3
4,1.1004548484427517,0.20831204826741473,3.295415626158564,1,0.2,2.5,0.3
5,1.0975674404022584,0.23120082839091408,3.316538454974695,4,0.2,2.5,0.3
6,1.096994994179525,0.21112629828006058,3.251791853944468,4,0.2,2.5,0.3
7,1.096880706378478,0.2064852881710577,3.23259866095306,4,0.2,2.5,0.3
8,1.096857856876234,0.203507379871459,3.1998804189798555,3,0.2,2.5,0.3
9,1.09685328729811,0.18964379593339817,3.1991538853980606,2,0.2,2.5,0.3
10,1.0968523733953752,0.22054837499737925,3.1623113897304704,3,0.2,2.5,0.3
11,1.0968521906153441,0.20034576458679992,3.144806501858521,4,0.2,2.5,0.3
12,1.0968521540593557,0.20573510617358948,3.106944442669274,3,0.2,2.5,0.3
13,1.0968521467481622,0.1858657393187006,3.0773130441170036,2,0.2,2.5,0.3
14,1.0968521452859221,0.20139272056175703,3.0880120282181194,1,0.2,2.5,0.3
15,1.0968521449934734,0.2212235886646706,3.0938709897574634,1,0.2,2.5,0.3
16,1.096852144934985,0.19034082165348493,3.0742684889671406,1,0.2,2.5,0.3
17,1.0968521449232895,0.20454698358249762,3.037766999875052,3,0.2,2.5,0.3
18,1.0968521449209447,0.21466153044391406,3.052040792431094,2,0.2,2.5,0.3
19,1.0968521449204793,0.2041529152233192,3.0101698717496284,3,0.2,2.5,0.3
20,1.0968521449203834,0.20626932379788188,2.963112832677081,4,0.2,2.5,0.3
21,1.0968521449203656,0.20106054153813296,2.9390264941037345,1,0.2,2.5,0.3
22,1.096852144920362,0.21113684010512768,2.9544658268020045,1,0.2,2.5,0.3
23,1.096852144920362,0.16752411516042232,2.953873078299616,0,0.2,2.5,0.3
24,1.096852144920362,0.20204296649336823,2.9469577105502824,0,0.2,2.5,0.3
25,1.096852144920362,0.21566250846100785,2.953971294209588,1,0.2,2.5,0.3
26,1.096852144920362,0.21058541122800797,2.9479385962121456,1,0.2,2.5,0.3
27,1.096852144920362,0.20756909335009804,2.919497632565492,1,0.2,2.5,0.3
