iter,p0_x0,p0_x1,p1_x0,p1_x1,p2_x0,p2_x1,p3_x0,p3_x1,p4_x0,p4_x1,p5_x0,p5_x1,p6_x0,p6_x1,p7_x0,p7_x1,p8_x0,p8_x1,p9_x0,p9_x1
0,4.440111388196226,-4.895174023828033,-2.8646432843981304,-0.907978821742776,-4.361844323608009,-2.375462172796381,-0.38411050732449237,-1.9153869338191076,4.154621535404586,2.402851410397269,-3.8807693888293366,5.071579497803353,-3.781101625128084,0.36380235126008387,-0.5805163402568381,-0.9369358593465584,4.854508936814699,5.076428389958655,4.31856080241296,4.253302180848594
1,3.940111388196226,-4.395174023828033,-3.3646432843981304,-0.407978821742776,-3.8618443236080093,-2.875462172796381,-0.8841105073244924,-2.4153869338191076,4.654621535404586,1.9028514103972691,-4.380769388829337,5.12,-3.281101625128084,-0.13619764873991613,-1.080516340256838,-0.43693585934655843,4.354508936814699,4.576428389958655,3.81856080241296,3.7533021808485936
2,3.440111388196226,-3.895174023828033,-3.01495674732701,-0.907978821742776,-3.3618443236080093,-2.6979426337644425,-1.3841105073244924,-1.9153869338191076,4.154621535404586,1.4028514103972691,-4.045531725431043,4.62,-2.841307970271056,-0.6361976487399161,-1.580516340256838,-0.6658040424908735,3.8545089368146987,4.076428389958655,3.31856080241296,3.2533021808485936
3,2.940111388196226,-3.395174023828033,-2.7701761713772255,-1.257978821742776,-2.8618443236080093,-2.1979426337644425,-1.542176658526691,-1.4153869338191076,3.654621535404586,0.9028514103972691,-3.545531725431043,4.12,-3.201399690215394,-0.9459404816824245,-2.080516340256838,-1.1658040424908735,3.3545089368146987,3.5764283899586546,2.81856080241296,2.7533021808485936
4,2.440111388196226,-2.895174023828033,-2.769667643903919,-1.2199241382798514,-2.694964941058819,-1.6979426337644425,-2.042176658526691,-0.9884269815219396,3.154621535404586,0.4028514103972691,-3.045531725431043,3.62,-3.3573424368481644,-1.1209505131006932,-2.580516340256838,-1.2772818588020918,2.8545089368146987,3.0764283899586546,2.31856080241296,2.265478895952283
5,1.9401113881962262,-2.395174023828033,-2.8050613579576176,-0.9722432398213653,-2.194964941058819,-1.378551730788332,-2.392176658526691,-0.689555014913922,2.654621535404586,0.41299410393858793,-2.6740456256420444,3.12,-2.8573424368481644,-1.0341683990704416,-2.2021043713341757,-0.9817325960699352,2.3545089368146987,2.6901708843570877,1.9415514329053665,1.765478895952283
6,1.4401113881962262,-1.8951740238280328,-3.0054313351792956,-0.78670406336893,-2.1409370419879874,-1.2771752315903737,-1.9113032399444678,-0.8794035850001155,2.154621535404586,-0.08700589606141207,-2.1740456256420444,2.62,-2.3573424368481644,-0.9201866429003268,-1.7864584572093738,-0.8803802267841013,1.8545089368146987,2.1901708843570877,1.4415514329053665,1.265478895952283
7,0.9401113881962262,-1.3951740238280328,-2.5054313351792956,-1.040977008652832,-1.9947512034023027,-0.8890401238994672,-1.677317198210877,-1.1986659832986355,1.6546215354045861,-0.5870058960614121,-2.230680867941946,2.12,-1.8573424368481644,-0.9665152790889937,-1.9087688734492412,-1.226942367570453,1.3545089368146987,1.6901708843570877,0.9415514329053665,0.7654788959522829
8,0.4401113881962262,-0.8951740238280328,-2.0054313351792956,-1.1193983628836046,-1.9298421046540597,-0.7049198973614239,-1.8193956036562582,-1.3275623011987998,1.1546215354045861,-1.0870058960614122,-2.1438446519333363,1.62,-1.6220209930712712,-1.0194054455843324,-2.2114707069243855,-1.2565560375453337,0.8545089368146987,1.1901708843570877,0.44155143290536647,0.2654788959522829
9,-0.059888611803773806,-0.7041459373668114,-1.6992077474652951,-1.0006410178540037,-1.9866037847775253,-0.8997100567472665,-2.2884117539035094,-0.8275623011987998,0.6546215354045861,-1.3283129097002686,-2.0263799373402787,1.12,-1.519977490156131,-1.014425380558697,-2.0256305463263256,-1.0447650505281993,0.35450893681469875,0.6901708843570877,-0.05844856709463353,-0.2345211040477171
10,-0.5598886118037738,-0.9528737400264742,-1.679731680469484,-0.9767780822667573,-2.093983323812414,-1.0928520071132768,-2.5001317513762293,-0.5480797508713189,0.15462153540458612,-1.1858165159034308,-1.947718897070258,0.6200000000000001,-1.9560195262996343,-0.9306153056781511,-1.9084165323798654,-0.8348162948955903,-0.14549106318530125,0.19017088435708773,-0.5584485670946335,-0.7345211040477171
11,-1.0598886118037738,-0.8663816266119114,-2.0522014111149742,-1.0823919271232452,-2.070400038580816,-0.9380292665850899,-2.0001317513762293,-0.860722432529861,-0.3453784645954139,-1.0441120122603806,-2.0526123577743736,0.1200000000000001,-2.3329855745061705,-0.9291985355373912,-2.0147502731412716,-0.939031924341342,-0.6454910631853013,-0.30982911564291227,-1.0584485670946335,-0.9339876702604659
12,-1.408896353461111,-0.8988389255913499,-1.7390449823528504,-0.9511651529830656,-1.5704000385808161,-0.7773116394781898,-1.5001317513762293,-1.1686294634203507,0.15462153540458612,-0.9156215637015429,-1.5526123577743736,-0.3799999999999999,-2.1355054434982677,-0.9351723525618705,-1.5147502731412716,-1.0067303974393103,-0.8657352063786974,-0.7249800442072571,-1.4084485670946334,-1.07361426660939
13,-1.3884806000415315,-0.9282608259848933,-1.746154101882791,-0.89777843714002,-1.412004885290411,-0.7783677793582602,-1.778644002193372,-1.082375629884224,0.08256602213467173,-0.8469267634872037,-1.0526123577743736,-0.8799999999999999,-1.6355054434982677,-0.9318635953183028,-1.509814848565092,-0.8818431857857147,-0.9415733431107096,-0.22498004420725715,-1.2119117710584109,-1.0600549735968756
14,-1.155586361797731,-0.9291494450476495,-1.395163481880966,-0.9229599508064537,-0.9607127838699531,-0.8182950471849058,-1.8471596806584563,-0.8536332181629405,-0.41743397786532827,-0.896542274241188,-0.7058262519640532,-1.2432363952154413,-1.5025328362678234,-0.9314532965928478,-1.5384060443555239,-0.8331674548472818,-1.0697765117800462,0.0538668108074607,-0.7582812546166677,-0.7876707953862174
15,-0.9159563940266578,-0.4291494450476495,-1.3952601228761774,-0.42295995080645366,-1.1244257163585047,-0.6448203720568488,-1.3471596806584563,-0.35363321816294047,-0.9174339778653282,-0.7884700154588007,-0.9084399220913996,-0.7432363952154413,-1.5001167329500351,-0.6188049989005743,-1.5098084170079908,-0.83688089246831,-1.1595187298485816,0.24905960931776316,-1.133081471264346,-0.6303997951260857
16,-1.079821842615846,0.07085055495235049,-1.8779886563800086,-0.16912562323825064,-1.543783011998375,-0.6756125015530121,-1.4708875148789435,0.08258829867768658,-0.9137982861673181,-0.2884700154588007,-1.3543514209105307,-0.24323639521544127,-1.6325488321145216,-0.11880499890057428,-1.513089924368205,-0.33688089246831,-1.2092713095943144,0.10069502073736886,-1.3381630254716295,-0.6601628728343949
17,-1.1942548038318272,0.42079980396610195,-2.3779886563800083,-0.1506818182890859,-1.8721687516111294,-0.7140162511007889,-1.4914944676289017,-0.4174117013223134,-0.41379828616731806,0.2115299845411993,-1.5029541732645018,0.25676360478455873,-1.7032130944287813,-0.09909912637443499,-1.6395150530099891,0.16311910753169,-0.9787960759833861,-0.0917456179947661,-1.0585067340516032,-0.8212454286377344
18,-1.1174560013416115,-0.04930903620238114,-1.8779886563800083,-0.6506818182890859,-1.4397399152499084,-0.6069336967812524,-1.488961636182602,-0.9174117013223134,-0.08530535937977357,0.34885316598707183,-1.2281021763090267,0.5006311698733791,-1.6022056197712575,-0.11650775584634093,-1.494562879984633,-0.019346893553821187,-0.8821299061204009,-0.024854912931309606,-0.8692379406358259,-0.9897131809776789
19,-1.023492048060785,-0.2299977522120916,-1.3779886563800083,-0.4910717451122868,-0.9397399152499084,-0.10693369678125242,-1.596913918931262,-0.6373892160300233,-0.5853053593797736,-0.14031095317313647,-0.8153870461890285,0.0006311698733790783,-1.7510730528474825,-0.1386151347613815,-0.9945628799846331,-0.5193468935538212,-1.0368548583447106,0.1584162511381771,-1.0660170340767066,-0.4897131809776789
20,-1.0063813773482817,-0.005711449532380536,-1.6472368114074891,-0.2416300995456993,-0.622179693862799,0.2794545118768715,-1.5831859336784881,-0.39275685961151297,-0.5280964951590149,-0.6403109531731365,-1.033270464437141,-0.4993688301266209,-1.420214769651746,-0.6292831029203468,-1.4533288713268824,-1.0193468935538212,-1.198381270305989,0.11536778342429618,-1.2006714053197616,-0.27249891008699983
21,-0.9944039078495295,0.15128896234341718,-1.4073232532371247,-0.03327301079572462,-0.9338519201629956,-0.22054548812312852,-1.5159056876928467,-0.6073746609364716,-0.13944834196028177,-0.8566262625278105,-1.1969819978318252,-0.4097714972930394,-0.920214769651746,-0.7752199680721996,-1.765323792287793,-0.5193468935538212,-1.1793198798562088,0.021274422822094602,-1.09266165787034,0.11543643198875514
22,-1.0049236038077887,0.157202386348546,-1.7998782850565194,-0.5332730107957246,-1.172930825177387,-0.24884813310940038,-1.4546757261845193,-0.42190614211529925,0.10893633330595076,-0.766236066896111,-1.2202807868505832,-0.9097714972930394,-1.420214769651746,-0.6153916729444635,-1.9801147196649889,-0.54021643273821,-0.8086139627140957,-0.04647941185615459,-0.948000318016221,-0.38456356801124486
23,-1.0149503987712154,-0.1071848446239192,-2.209441712140846,-1.0332730107957246,-0.9908022829129547,-0.19825675968050316,-1.413664478273064,-0.9219061421152992,-0.39106366669404924,-0.266236066896111,-0.9137287578849831,-0.6663823390462507,-1.708702484171977,-0.17808705194763014,-1.4801147196649889,-0.8048826319992172,-0.6921996707971859,-0.06269023390942066,-0.8890566396674872,-0.7023182589249688
24,-1.0039003889500515,-0.12890198905561495,-1.7094417121408458,-0.5332730107957246,-0.8589681675012188,-0.12025873338570675,-1.913664478273064,-0.8015170961882954,-0.879639496292547,-0.39353236570882943,-0.8854635097243176,-0.43229842144886577,-1.344995335921631,0.05289526316644766,-1.1849383795775315,-0.9766042051940702,-1.056497324302706,-0.012765876111590288,-0.9669026997107715,-0.5311449662449605
25,-1.002055388398327,-0.05451764112433255,-1.3507551118827958,-0.21323699790007666,-0.8799237835248074,-0.016055413653142045,-1.413664478273064,-0.35087663081076487,-0.40364614382318514,-0.8935323657088294,-0.9278909835651828,-0.07552646656595308,-1.105199081680371,-0.44710473683355234,-0.9879948681393389,-0.4766042051940702,-1.2814655074971515,0.02796760644706244,-1.0642246135618922,-0.36524987388188523
26,-1.0069073220187017,0.08110348164545977,-1.464898470986658,-0.7132369979000767,-1.059693889776538,0.06917619755603767,-1.5769094547655953,-0.26436203774483846,0.09635385617681486,-0.43045671835597643,-1.0581325633703365,0.20699016066432746,-1.2956781982786327,-0.8746068926949517,-0.8866440198794017,0.023395794805929793,-1.1887291450092892,0.019602094214006074,-1.1247721518285756,-0.21451390823233574
27,-1.0100551806269005,0.049072101590268806,-1.5738014597739993,-0.7286902259389876,-1.1817640531125555,0.05119546320961924,-1.123862317973253,-0.7163514177813188,-0.2594836742578646,-0.1328702350193015,-1.0313377834473154,-0.06107388768911853,-1.227287029469292,-0.7451622701113134,-0.8299614719062055,0.34875354276862136,-0.8327235670257,-0.011518911000888747,-1.0201230539559722,-0.7145139082323357
28,-1.0080480278653208,-0.06447499706445425,-1.398232784580752,-0.22869022593898758,-1.0069966149263496,0.03334141280950875,-1.1810813185294864,-0.7943235615426298,-0.4427930990750778,-0.6328702350193015,-0.994118340886693,-0.22239219435674756,-1.4235139166392805,-0.24516227011131342,-0.9427303906290566,0.19626217906092808,-0.7009192542925071,-0.034505990900626976,-0.9695309795467211,-1.2145139082323357
29,-1.0050691782252146,-0.03363234210239126,-1.0639277602415957,-0.7286902259389876,-0.8844105575923942,-0.006615791718271022,-1.2955628146760036,-0.8852291974591271,-0.3019423024670529,-0.8880196428040756,-1.0031291383128156,0.03827655838161309,-1.7944786975106926,-0.6125765013470865,-1.062595879214508,-0.17101498808675314,-1.2009192542925071,-0.02339702694536655,-1.0168751879481948,-0.7145139082323357
30,-1.0051145082522022,0.03161055837039517,-1.5639277602415957,-0.49990955981742713,-1.0251933627719347,-0.012016331777541356,-1.7955628146760036,-1.0049404580791585,-0.2131122323895352,-0.6193328297228727,-1.012191854430443,0.16391764979446932,-1.6136105819788336,-0.4552092166113225,-0.9153573285492398,-0.025471770142362904,-1.3732754033136152,0.0016875957714383646,-1.0654515907637996,-0.21451390823233574
31,-1.008230225559311,0.03802388505018571,-2.0639277602415955,-0.5308238454355703,-1.1093299603487414,-0.011732856585341574,-1.7611974064681073,-0.8113849304505553,-0.22078946317662917,-0.17862438876280107,-1.010315104486489,0.14976040657188414,-1.6555707156658035,-0.7810357007936862,-0.8627224819853957,0.07913845464755051,-0.9335963480540723,0.010924437304943763,-1.072576216910855,-0.39392887658195963
32,-1.0088082650085541,0.0059514220338335935,-1.9832053861922423,-0.43895323887398907,-0.9329891298503266,-0.010886638396207106,-1.2611974064681073,-0.39731710283798194,-0.5675478644446612,-0.5249349934009218,-1.001130780680185,0.019682248132994712,-1.4327540594846466,-0.7715001054206676,-0.9650421402189161,0.013129959206609962,-0.6588607932155526,0.0037621521148651343,-1.0545963958382902,-0.65238117766465
33,-1.0052407294000658,-0.03249024557910843,-1.4832053861922423,-0.37268237483765543,-0.9917381145185264,-0.010312974501811779,-1.2126578877878222,-0.3588765339642369,-0.06754786444466121,-0.6459602577792274,-0.9981573920269052,-0.0860255550331886,-1.4468097307378764,-0.2715001054206676,-1.0666669263934931,-0.039157196190811296,-0.7765472888147884,-0.00025384358590260694,-1.002505472943831,-0.9091966776927103
34,-0.9859701277469708,-0.012622594014485868,-1.4009976259160535,-0.6728831487106277,-1.0328624037862664,-0.00991140977573505,-1.7126578877878222,-0.3417997235013993,-0.1505099148923359,-0.739450764754567,-0.9951428812354451,-0.007385836274648144,-1.323967445142732,-0.07734923784055348,-1.0442495503276819,0.016126526630383393,-1.2595229901424163,-0.002457090641356574,-0.9641601405585882,-0.4091966776927103
35,-0.9782055726961284,0.013966094603927334,-1.4845333676753696,-0.514668257696496,-0.9859974719174274,-0.009387093013470434,-1.72570125766933,-0.35442621811691605,-0.1753604424328956,-0.3838308271141404,-0.9930327236814231,0.04766196685633017,-1.823967445142732,-0.5252303272784284,-1.004732649641801,0.035423026811993455,-1.0632980848041644,0.004717913129345101,-1.0214258837285601,-0.34587876197274625
