iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,0.947339876719969,0.5997182369969118,0.6643925166640744,10,0.7,1.4,1.4
1,0.947339876719969,0.4524116941326045,0.5014428845983349,4,0.7,1.4,1.4
2,0.12904075468343734,0.4381251114469892,0.3746335859747493,7,0.7,1.4,1.4
3,0.12904075468343734,0.355497932671257,0.39897228360491876,2,0.7,1.4,1.4
4,0.12904075468343734,0.3132951595374513,0.2764815614627537,4,0.7,1.4,1.4
5,0.0681675921452154,0.3332734784442957,0.29253083283710973,2,0.7,1.4,1.4
6,0.0681675921452154,0.30943753383021877,0.24848959627458003,2,0.7,1.4,1.4
7,0.0681675921452154,0.2599878996950183,0.21666722120760568,5,0.7,1.4,1.4
8,0.0681675921452154,0.19530479955334806,0.19690768389534954,6,0.7,1.4,1.4
9,0.0681675921452154,0.25456316604176815,0.1741354855192222,6,0.7,1.4,1.4
10,0.0681675921452154,0.14336322306167082,0.19029307147130786,4,0.7,1.4,1.4
11,0.0681675921452154,0.20893297527437232,0.194733609379867,2,0.7,1.4,1.4
12,0.017640706309364873,0.15543334940216014,0.15509399566834908,9,0.7,1.4,1.4
13,0.017640706309364873,0.15219567778678333,0.15414172398547665,3,0.7,1.4,1.4
14,0.017640706309364873,0.11676608417810645,0.1381405842872677,3,0.7,1.4,1.4
15,0.017640706309364873,0.1660214640461837,0.13373802432322007,2,0.7,1.4,1.4
16,0.001942392980566865,0.11900972476837872,0.14167370572510116,9,0.7,1.4,1.4
17,0.001942392980566865,0.1454458841856936,0.0941271301664873,4,0.7,1.4,1.4
18,0.001942392980566865,0.09937756091700997,0.11432740005222175,6,0.7,1.4,1.4
19,0.001942392980566865,0.11616412534066305,0.0856298626794234,4,0.7,1.4,1.4
20,0.001942392980566865,0.09878402023735033,0.12409124805108114,3,0.7,1.4,1.4
21,0.0004188167092848971,0.11348704268917335,0.060893656307415014,7,0.7,1.4,1.4
22,0.0004188167092848971,0.06844738498910925,0.07919419489450422,2,0.7,1.4,1.4
