iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,13.641345912697048,0.6814875877125429,4.346350902884618,9,0.7,2.5,0.5
1,9.581918345374975,0.5599152028034309,4.2951959436748055,7,0.7,2.5,0.5
2,5.200308291369565,0.580300252956574,3.487603975934216,12,0.7,2.5,0.5
3,3.530237759651225,0.5290385689117133,3.0410073862919544,6,0.7,2.5,0.5
4,3.530237759651225,0.5136071549758473,2.7962905801156555,8,0.7,2.5,0.5
5,3.530237759651225,0.5679801284049126,2.516655377995146,7,0.7,2.5,0.5
6,3.530237759651225,0.5309627405381009,2.2057590716930093,8,0.7,2.5,0.5
7,1.2104308441068454,0.5257251778940921,1.8641916807536312,11,0.7,2.5,0.5
8,1.2104308441068454,0.45830506770940865,1.716056328703668,6,0.7,2.5,0.5
9,1.2104308441068454,0.47221314512061063,1.7139750093560913,5,0.7,2.5,0.5
10,1.2104308441068454,0.3712091417753938,1.592033835864994,4,0.7,2.5,0.5
11,1.2104308441068454,0.40612411909825435,1.4650998921305454,3,0.7,2.5,0.5
12,1.2104308441068454,0.3964859849484621,1.3853936448874014,3,0.7,2.5,0.5
13,1.1282276174088466,0.37512556589600776,1.3151614657080437,7,0.7,2.5,0.5
14,1.1282276174088466,0.3909131653837145,1.3651015930115276,1,0.7,2.5,0.5
15,1.1282276174088466,0.33671294439708543,1.345452609801148,4,0.7,2.5,0.5
16,1.071094699427377,0.43930476734296064,1.2371026543308816,2,0.7,2.5,0.5
17,1.071094699427377,0.37046463611965536,1.1584751022249558,2,0.7,2.5,0.5
18,1.071094699427377,0.4119563142032174,1.17349198404558,1,0.7,2.5,0.5
19,1.071094699427377,0.3652190673161669,1.2062793276449562,2,0.7,2.5,0.5
20,1.071094699427377,0.3346100473078087,1.148781961295839,3,0.7,2.5,0.5
21,1.0017301099198406,0.321082027370041,1.171587339908912,7,0.7,2.5,0.5
22,1.0017301099198406,0.27732659568913715,1.0569761999670662,3,0.7,2.5,0.5
23,1.0017301099198406,0.2972720450179557,1.0355089332901914,3,0.7,2.5,0.5
24,1.0017301099198406,0.3086639359096651,1.0314676175192794,1,0.7,2.5,0.5
25,1.0017301099198406,0.29602565630637195,0.9824334410461406,1,0.7,2.5,0.5
26,0.9964840538637532,0.34914128353351964,1.046324253677528,2,0.7,2.5,0.5
27,0.9964840538637532,0.24541597073019777,1.0523506439597554,1,0.7,2.5,0.5
28,0.9964840538637532,0.35786215990546666,1.0630782373611445,0,0.7,2.5,0.5
29,0.9964840538637532,0.35964430365589045,1.0267271496120125,0,0.7,2.5,0.5
30,0.9964840538637532,0.3198359457320849,0.9983962802385076,1,0.7,2.5,0.5
31,0.9964840538637532,0.36190713510612615,0.9580964194712985,4,0.7,2.5,0.5
32,0.9964840538637532,0.2980118468042899,1.0093520860954888,2,0.7,2.5,0.5
33,0.9964840538637532,0.29749951117877693,0.8773897050083039,1,0.7,2.5,0.5
34,0.9964840538637532,0.3343665122118701,0.882971248645337,1,0.7,2.5,0.5
35,0.9964840538637532,0.3143020397730109,0.8623648978966629,1,0.7,2.5,0.5
36,0.9964840538637532,0.2588654967416649,0.8840778006735424,1,0.7,2.5,0.5
37,0.996403062108886,0.2636284001419663,0.8372905812964069,5,0.7,2.5,0.5
38,0.996403062108886,0.29075913960422145,0.9523761664075664,1,0.7,2.5,0.5
39,0.9962260559166083,0.26536185084000713,0.9748057069104936,2,0.7,2.5,0.5
40,0.9960544359419004,0.24885953118100312,0.8973270135737229,4,0.7,2.5,0.5
41,0.9957569499685945,0.2966450629520993,0.8259192278348093,2,0.7,2.5,0.5
42,0.9953483168686077,0.2626756969754437,0.9108215943707714,3,0.7,2.5,0.5
43,0.9953483168686077,0.3113138212871511,0.9681436897645466,1,0.7,2.5,0.5
44,0.9953483168686077,0.27193055046184694,0.8860585987810318,0,0.7,2.5,0.5
45,0.9953483168686077,0.29336866616628876,0.8442939954453014,1,0.7,2.5,0.5
46,0.9953483168686077,0.2903826036914952,0.9278140699714348,2,0.7,2.5,0.5
47,0.9953483168686077,0.29696509948607275,0.9623375966985706,3,0.7,2.5,0.5
48,0.9953483168686077,0.25580697201969066,0.8249357104082478,0,0.7,2.5,0.5
49,0.9953462898178458,0.3167522850420078,0.805577411855267,3,0.7,2.5,0.5
50,0.9952226549435323,0.2552921985181214,0.8088084147346315,4,0.7,2.5,0.5
51,0.9950998962175781,0.26475365041612486,0.7991952565037236,3,0.7,2.5,0.5
52,0.9950390547585464,0.30124767527075996,0.775531459057699,2,0.7,2.5,0.5
